epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,71737.6,0.56897,0.4578,0.06937,0.74718,0.5557,0.58098,0.33118,0.5645,0.46687,0.07192,8.51333e-05,8.51333e-05,8.51333e-05
40,73574.2,0.56701,0.45793,0.06879,0.75096,0.55582,0.58234,0.33106,0.56448,0.46711,0.07179,8.43851e-05,8.43851e-05,8.43851e-05
41,75410.2,0.56814,0.45742,0.06907,0.74766,0.55731,0.5827,0.33124,0.56442,0.46733,0.07175,8.3622e-05,8.3622e-05,8.3622e-05
42,77246.3,0.56714,0.45704,0.06866,0.74863,0.55879,0.58371,0.33184,0.56394,0.46738,0.07164,8.28443e-05,8.28443e-05,8.28443e-05
43,79083.2,0.56618,0.45574,0.06865,0.74931,0.55604,0.58327,0.33135,0.56382,0.4676,0.07153,8.20525e-05,8.20525e-05,8.20525e-05
44,80919.6,0.56517,0.45558,0.06835,0.74773,0.55679,0.58212,0.33104,0.56372,0.46788,0.07144,8.12468e-05,8.12468e-05,8.12468e-05
45,82755.2,0.56456,0.45532,0.06828,0.74773,0.55627,0.5819,0.3309,0.56344,0.46775,0.07144,8.04277e-05,8.04277e-05,8.04277e-05
46,84590.3,0.56458,0.45428,0.06826,0.74909,0.55816,0.58265,0.33142,0.56317,0.46772,0.0714,7.95954e-05,7.95954e-05,7.95954e-05
47,86426.4,0.56451,0.45422,0.06828,0.74973,0.55826,0.58275,0.33163,0.56299,0.46753,0.0713,7.87503e-05,7.87503e-05,7.87503e-05
48,88262.6,0.56352,0.4536,0.06807,0.75231,0.55801,0.5831,0.33229,0.56255,0.46713,0.07119,7.78929e-05,7.78929e-05,7.78929e-05
49,90099.8,0.56275,0.45306,0.06791,0.74966,0.55878,0.58444,0.33273,0.56239,0.46694,0.07119,7.70234e-05,7.70234e-05,7.70234e-05
50,91935.5,0.5624,0.45319,0.06793,0.75135,0.55708,0.58936,0.33387,0.56231,0.46685,0.0713,7.61423e-05,7.61423e-05,7.61423e-05
51,93771.5,0.56177,0.45273,0.0678,0.74827,0.56027,0.58611,0.3328,0.56218,0.46672,0.07132,7.525e-05,7.525e-05,7.525e-05
52,95607.3,0.56217,0.45238,0.06757,0.7516,0.55625,0.5855,0.33307,0.56202,0.46675,0.07133,7.43468e-05,7.43468e-05,7.43468e-05
53,97443.1,0.56062,0.45198,0.06762,0.74884,0.55837,0.58891,0.33516,0.56192,0.46668,0.07131,7.34332e-05,7.34332e-05,7.34332e-05
54,99278.6,0.56016,0.45171,0.06739,0.75242,0.55653,0.58868,0.33466,0.56206,0.46677,0.07131,7.25094e-05,7.25094e-05,7.25094e-05
55,101115,0.55981,0.45039,0.06733,0.75213,0.55853,0.58573,0.33302,0.5616,0.46713,0.07122,7.15761e-05,7.15761e-05,7.15761e-05
56,102951,0.55899,0.45021,0.06721,0.72082,0.57644,0.58576,0.33312,0.5616,0.46727,0.07129,7.06335e-05,7.06335e-05,7.06335e-05
57,104786,0.55843,0.44958,0.06706,0.69115,0.58249,0.58976,0.33538,0.56167,0.46746,0.07137,6.9682e-05,6.9682e-05,6.9682e-05
