epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,1770.33,0.55647,0.48049,0.07273,0.75096,0.6248,0.67574,0.38985,0.55632,0.47418,0.072,1.57643e-05,1.57643e-05,1.57643e-05
40,1814.62,0.55652,0.48237,0.07322,0.75121,0.63552,0.68008,0.39131,0.55471,0.47408,0.07167,1.53896e-05,1.53896e-05,1.53896e-05
41,1858.64,0.55499,0.47899,0.07299,0.74699,0.62852,0.68103,0.39145,0.55542,0.47381,0.07154,1.5015e-05,1.5015e-05,1.5015e-05
42,1902.69,0.55856,0.48074,0.07318,0.75288,0.62175,0.67566,0.38914,0.55521,0.47351,0.0716,1.46404e-05,1.46404e-05,1.46404e-05
43,1946.74,0.55589,0.48354,0.07283,0.74033,0.62477,0.67741,0.39076,0.55563,0.472,0.07172,1.42657e-05,1.42657e-05,1.42657e-05
44,1990.77,0.55894,0.47839,0.07305,0.75005,0.62878,0.67934,0.39107,0.55495,0.47324,0.07168,1.38911e-05,1.38911e-05,1.38911e-05
45,2035.55,0.55398,0.48095,0.07172,0.75406,0.62621,0.67692,0.39,0.5557,0.4719,0.07175,1.35165e-05,1.35165e-05,1.35165e-05
46,2080.67,0.55844,0.47891,0.07275,0.75464,0.62548,0.68008,0.39092,0.55468,0.47418,0.07159,1.31419e-05,1.31419e-05,1.31419e-05
47,2125.85,0.55646,0.47824,0.07224,0.75343,0.62605,0.6786,0.39091,0.5533,0.47363,0.07142,1.27673e-05,1.27673e-05,1.27673e-05
48,2171.05,0.55967,0.47767,0.072,0.75534,0.62034,0.67534,0.3889,0.55588,0.47365,0.07167,1.23926e-05,1.23926e-05,1.23926e-05
49,2216.26,0.56303,0.47982,0.07359,0.74141,0.62869,0.67678,0.39031,0.55474,0.47258,0.07146,1.2018e-05,1.2018e-05,1.2018e-05
50,2261.42,0.56369,0.47788,0.07353,0.73118,0.63335,0.67719,0.39062,0.55314,0.47354,0.07126,1.16434e-05,1.16434e-05,1.16434e-05
